@relation COVID-19 Estimated ICU Beds Occupied by State Timeseries
@attribute ICU_Beds_Occupied_Estimated numeric
@attribute ICU_Beds_Occupied_Total numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@data
407,651,12
201,299,13
1967,3265,14
1333,2245,15
1733,2468,22
560,806,16
79,124,0
865,1248,47
1043,2114,3
1404,1714,24
597,816,25
120,219,26
1770,2321,27
114,194,28
349,564,29
1160,2927,31
1230,1586,1
711,996,2
133,217,11
842,1236,5
590,844,23
1730,2471,22
232,316,21
863,1264,20
914,1333,19
1080,1758,18
1027,1762,17
574,809,16
4510,6624,4
1376,2245,15
208,302,13
414,661,12
309,404,32
1947,2603,10
4892,6454,9
143,182,8
250,318,7
499,1030,6
1948,3278,14
658,887,33
168,282,30
2537,4070,35
3168,5189,34
809,1580,48
50,125,50
429,606,49
1218,1888,45
374,618,44
5182,6025,43
67,97,46
136,222,41
852,1237,40
124,144,39
2648,3620,38
499,772,37
736,963,36
1550,2352,42
148,182,8
93,133,0
1300,1594,1
740,1005,2
4683,6657,4
889,1247,5
540,1030,6
256,331,7
5158,6455,9
603,806,16
141,218,11
406,659,12
230,295,13
2082,3271,14
1489,2254,15
53,125,50
1028,1762,17
1143,1767,18
955,1344,19
899,1269,20
238,314,21
2011,2624,10
445,606,49
901,1238,40
80,97,46
1783,2480,22
1094,2123,3
1508,1737,24
620,819,25
144,219,26
1830,2342,27
135,196,28
365,570,29
178,282,30
1244,2933,31
930,1266,47
312,408,32
3246,5184,34
2668,4071,35
756,968,36
534,796,37
2769,3586,38
126,140,39
1616,2342,42
5358,6129,43
407,622,44
1293,1878,45
685,877,33
639,871,23
134,226,41
889,1589,48
267,327,7
79,97,46
939,1264,47
448,606,49
50,125,50
1056,1762,17
600,805,16
1494,2251,15
2122,3270,14
228,289,13
244,313,21
435,662,12
127,216,11
2060,2603,10
5161,6448,9
643,862,23
1814,2487,22
145,182,8
540,1030,6
911,1254,5
4742,6634,4
742,997,2
1319,1600,1
1281,1871,45
433,622,44
5537,6406,43
1638,2357,42
914,1596,48
900,1256,20
988,1338,19
1145,1760,18
1108,2120,3
1509,1742,24
629,817,25
151,219,26
1846,2337,27
137,199,28
92,133,0
393,570,29
1248,2933,31
312,406,32
677,893,33
3329,5189,34
2731,4068,35
783,966,36
550,789,37
2874,3658,38
130,148,39
902,1238,40
124,224,41
175,282,30
1802,2468,22
235,317,21
899,1259,5
987,1337,19
210,289,13
432,662,12
144,218,11
2047,2621,10
5182,6438,9
147,182,8
260,331,7
528,1030,6
4780,6700,4
753,1006,2
1333,1587,1
86,130,0
77,97,46
